,date,lat_and_long,GTOA_Protocol,Boat_Type,Boat_Length,Towing_Inflatable,Trailing_Fishing_Lure,Physical_Contact_With_Boat,Number_of_Adult_Orcas,Number_of_Juvenile_Orcas,Number_of_Uncertain_Age_Orcas,Rudder,Motoring_or_Sailing,Speed_Knots,Sea_State,Wind_Speed_Beaufort,Daylight_or_Darkness,Cloud_Cover,Distance_Off_Land_NM,Depth_Meters,Depth_Gauge,Autopilot,Hull_Topsides_Color,Antifoul_Color,Boat_Damaged,Tow_Required,Crew_Response,Orcas_Behaviour
35,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
36,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
37,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
38,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
39,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
40,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
41,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
42,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
43,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
44,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
45,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
46,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
47,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
48,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
49,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
50,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
51,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
52,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
53,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
54,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
55,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
56,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
57,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
58,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
59,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
60,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
61,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
62,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
63,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
64,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
65,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
66,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
67,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
68,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
69,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
70,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
71,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
72,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
73,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
74,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
75,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
76,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
77,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
78,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
79,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
80,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
81,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
82,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
83,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
84,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
